Humidity,Temperature,Soil,Rainfall,RainTomorrow
71,22,0,1,No
44,22,0,0,No
38,25,0,0,No
45,28,0,0,No
82,32,0,1,No
55,29,0,1,No
49,25,1,0,No
48,29,1,0,No
42,31,1,0,Yes
58,30,0,1,No
48,30,0,0,Yes
89,21,0,1,Yes
76,18,0,1,Yes
65,21,1,1,No
57,24,0,0,Yes
50,27,1,1,No
69,20,1,0,Yes
80,22,1,1,Yes
47,22,1,1,No
45,25,1,0,No
56,29,0,0,No
38,33,0,0,No
54,31,0,0,No
55,31,0,0,No
49,32,0,0,No
45,33,0,0,No
41,33,0,0,No
56,32,0,0,No
49,27,0,0,Yes
78,24,0,1,No
48,24,1,1,No
46,26,1,0,No
44,23,1,0,No
43,28,1,0,No
41,34,1,0,No
41,35,1,0,No
33,37,1,0,No
34,38,1,0,No
43,28,1,0,No
38,28,1,0,No
36,30,0,0,No
52,32,0,0,No
48,34,0,0,No
51,37,0,0,No
40,43,0,0,No
34,32,0,0,No
46,29,0,0,No
35,28,1,0,No
34,32,0,0,No
39,36,0,0,No
36,39,0,0,No
48,38,0,1,No
60,34,1,1,Yes
43,35,1,1,No
41,30,1,0,No
44,34,1,0,No
48,38,1,0,No
48,38,1,0,No
45,40,1,0,No
38,41,1,0,No
37,42,1,0,No
33,42,0,0,No
27,43,0,0,No
32,38,0,1,No
51,37,0,0,No
53,36,0,0,No
48,41,0,0,No
39,42,0,0,No
36,44,0,0,No
20,40,1,0,No
66,31,1,1,No
50,27,1,0,No
45,29,1,0,No
58,21,1,0,Yes
41,29,1,1,No
37,29,1,0,No
50,31,0,0,No
43,31,0,0,No
46,28,0,0,No
44,32,0,0,No
53,34,0,0,No
45,29,0,0,No
63,31,0,0,No
49,33,0,0,No
48,34,0,0,No
54,29,0,0,No
49,31,0,0,No
43,32,1,0,No
53,32,1,0,No
44,34,1,0,No
53,30,1,0,No
53,31,1,0,No
58,31,1,0,No
57,22,1,1,No
60,22,1,0,No
52,24,0,0,No
58,27,0,0,No
54,30,0,0,No
